land_size_sqm,house_size_sqm,no_of_rooms,no_of_bathrooms,living_room,parking_space,front_garden,swimming_pool,house_age,Land_Rate_per_Acre,property_value
201,177,3,1,0,1,1,0,10,30000000,165432
196,182,4,3,1,1,0,1,11,7888000,187043
198,182,4,4,1,1,0,1,20,4866000,148658
178,166,2,3,0,1,0,0,5,8358000,123785
183,165,3,1,1,1,0,0,8,6845000,156470
399,377,6,5,1,1,1,1,7,6797000,306596
337,334,5,3,1,0,1,1,14,20000000,283236
110,94,1,2,0,0,0,0,1,7105000,76026
170,159,3,4,1,0,1,0,22,8405000,121398
128,116,1,2,0,0,1,0,1,3506000,105593
220,189,3,1,0,0,0,0,1,7700000,149798
350,330,5,3,1,1,1,1,5,9369000,294321
296,258,4,2,1,1,0,1,2,8716000,240550
209,184,3,3,1,1,0,0,3,5394000,163884
207,187,3,3,1,1,0,0,11,6367000,156310
177,154,3,3,1,1,0,1,10,5080000,160441
291,283,4,3,1,1,0,1,8,7209999,215767
242,211,5,2,1,1,1,1,14,5700000,223955
132,129,1,2,0,0,0,0,5,12400000,99461
277,247,4,5,1,1,1,1,18,4900000,220432
172,164,3,4,1,1,0,0,12,9630000,148221
203,192,4,4,0,1,1,1,12,9458000,181712
181,156,3,1,1,1,0,1,9,23700000,149638
227,207,4,3,0,1,1,1,6,7363000,177378
321,306,5,2,1,1,1,1,20,5489000,264197
484,462,7,5,1,1,1,1,21,4216000,387376
170,148,3,3,1,0,1,0,12,4368000,118435
190,178,2,2,0,1,0,0,16,7600000,145854
302,300,5,4,1,0,1,1,3,4545000,254455
117,115,1,1,0,0,0,0,6,23100000,77871
260,224,4,3,1,1,0,1,7,8000000,221912
271,266,5,2,1,1,1,1,1,4514000,244207
151,135,3,2,0,1,0,1,10,5460000,125534
533,519,7,8,1,1,1,1,8,4414000,423665
103,93,1,1,0,0,0,0,8,8868000,79728
173,168,2,3,1,0,0,1,11,6133000,140451
212,192,3,1,1,0,0,0,11,3038000,156980
228,204,3,4,0,0,1,0,2,7100000,187637
283,269,5,3,0,1,1,1,20,7506999,236224
240,217,3,1,1,0,0,0,5,6520000,162263
239,205,3,4,0,1,1,0,1,6389000,180367
362,340,6,7,1,1,1,1,11,11700000,290303
357,343,5,3,1,1,0,1,15,5600000,305001
177,168,2,2,0,1,0,0,13,4562000,143831
145,143,1,2,1,0,0,0,13,2951000,103222
189,162,3,4,0,1,0,1,1,4264000,187392
126,118,2,2,0,1,0,0,19,6698000,87038
353,350,5,5,1,1,1,1,6,8100000,294390
245,213,5,3,1,1,1,1,4,4500000,226855
297,257,5,5,1,1,1,0,18,4928000,240581
214,183,4,3,0,1,0,0,11,6100000,171338
238,224,4,4,0,1,1,1,8,6151000,220779
178,161,2,2,0,0,0,0,1,5426000,121390
323,282,5,4,1,1,0,1,11,13000000,241221
152,142,2,3,0,0,0,0,11,4850000,106896
149,140,2,3,0,1,0,0,21,4604000,119377
238,205,3,2,0,1,0,1,22,3607000,194009
236,215,4,3,0,1,1,1,20,16500000,205527
256,233,5,5,1,1,1,1,11,4840000,238334
297,294,5,2,1,1,1,1,2,25800000,254727
475,451,7,6,1,1,1,1,17,51000000,369207
132,128,2,2,0,0,0,1,11,4809000,109392
170,150,3,1,0,1,1,0,13,5070000,141169
216,195,3,2,1,1,0,0,15,10500000,163696
526,467,8,6,1,1,1,1,17,6850000,430611
222,221,3,4,1,0,1,0,22,4580000,156379
260,260,4,2,1,1,1,1,6,5559000,233275
241,232,4,5,0,1,1,1,19,4723000,196305
287,282,4,3,1,0,1,1,18,4465000,233007
121,103,2,3,1,1,0,1,1,8954000,115686
143,139,1,1,0,0,0,0,13,4000000,86727
280,245,4,5,1,1,1,1,10,5400000,259502
632,567,8,6,1,1,1,1,13,8784000,527472
115,98,1,2,1,0,0,0,2,7900000,76899
205,175,3,3,1,0,1,0,18,4781000,187897
193,192,4,2,1,1,0,1,19,15000000,183566
231,215,5,3,1,1,1,1,18,4700000,198919
321,314,5,5,1,1,1,1,3,7767000,251935
331,308,5,3,1,1,1,0,8,6487000,261937
427,371,6,5,1,1,1,1,21,14000000,337540
162,145,3,4,0,1,0,0,4,8758000,131810
466,419,6,6,1,1,1,1,8,13100000,390138
206,187,4,3,1,1,1,1,18,5500000,181708
207,189,4,5,0,1,1,1,3,4900000,218009
201,181,3,2,0,1,1,0,3,8779000,158468
383,359,6,5,1,1,1,1,16,22000000,300328
134,131,1,2,1,0,0,0,19,5329000,89398
173,148,2,2,0,0,0,0,17,7500000,103859
155,139,3,1,0,1,0,0,15,3779999,110155
256,234,4,5,1,1,1,1,12,9000000,224335
317,299,6,7,1,1,1,1,16,8218000,253088
240,239,4,5,1,1,1,1,20,8656000,193711
260,235,4,4,1,1,1,1,17,7520000,229133
195,187,4,3,1,1,1,1,4,6148000,192284
116,100,1,1,0,0,0,0,14,11000000,76826
239,205,4,5,1,1,0,1,8,11399999,192173
234,221,3,3,1,0,1,0,15,13000000,186721
269,259,4,4,1,1,1,1,5,11299999,222170
156,142,3,1,0,1,1,0,15,4900000,143898
308,265,5,3,1,1,1,1,12,5002000,282973
216,211,4,5,1,1,1,1,11,5036000,184876
413,379,6,4,1,1,1,1,15,6736000,339498
103,102,1,2,1,0,0,0,16,8233000,87402
226,201,3,3,0,0,0,0,15,6761000,159508
224,210,4,2,0,1,0,0,18,6611000,163962
299,278,5,3,1,1,1,1,20,6287000,246565
182,177,2,2,0,0,0,1,3,6437000,155549
352,307,5,2,1,1,1,1,8,6112000,288480
239,213,3,2,1,1,1,0,21,6487000,191668
218,210,3,3,0,0,0,1,13,9412000,181747
469,427,6,6,1,1,1,1,14,10500000,363589
168,163,2,2,0,0,0,0,9,10200000,128495
146,128,2,3,0,1,1,0,19,4722000,115748
218,211,4,5,1,1,0,1,22,4586000,181704
286,259,4,5,1,1,1,1,21,4582000,219835
196,172,4,3,1,1,1,0,7,6787000,149434
199,189,4,2,1,1,1,1,7,9319000,182669
258,241,4,4,1,1,0,0,22,6892000,200244
298,282,5,4,1,1,1,1,9,9277000,222028
351,302,5,3,1,1,0,1,19,11600000,273884
